	3022262.500000	3429612.500000	131.066010	39.143597	447101888.000000
	3022262.500000	3429637.500000	106.066017	39.143597	447132512.000000
	3022237.500000	3429662.500000	70.710678	39.143597	447136864.000000
	3022212.500000	3429687.500000	35.355339	39.143597	447138112.000000
	3022187.500000	3429712.500000	0.000000	39.088211	447139360.000000
	3023287.500000	3428187.500000	2141.726318	44.026020	442708128.000000
	3023262.500000	3428212.500000	2106.371094	44.026020	442870624.000000
	3023237.500000	3428212.500000	2081.371094	44.026020	442892512.000000
	3023212.500000	3428237.500000	2046.015747	44.026020	442895616.000000
	3023187.500000	3428262.500000	2010.660400	44.026020	442944384.000000
	3023187.500000	3428287.500000	1985.660400	44.026020	442948128.000000
	3023162.500000	3428312.500000	1950.305054	44.026020	442966240.000000
	3023137.500000	3428337.500000	1914.949707	44.026020	442975008.000000
	3023112.500000	3428362.500000	1879.594360	44.026020	443022496.000000
	3023087.500000	3428387.500000	1844.239014	43.992329	443026240.000000
	3023087.500000	3428412.500000	1819.239014	43.860889	443029376.000000
	3023087.500000	3428437.500000	1794.239014	43.667805	443038112.000000
	3023087.500000	3428462.500000	1769.239014	43.415558	443040640.000000
	3023087.500000	3428487.500000	1744.239014	43.195961	443042496.000000
	3023087.500000	3428512.500000	1719.239014	43.073559	443047488.000000
	3023087.500000	3428537.500000	1694.239014	43.067066	443053120.000000
	3023087.500000	3428562.500000	1669.239014	43.067066	443333760.000000
	3023062.500000	3428587.500000	1633.883667	43.067066	443335616.000000
	3023062.500000	3428612.500000	1608.883667	43.067066	443338112.000000
	3023062.500000	3428637.500000	1583.883667	43.067066	443340000.000000
	3023062.500000	3428662.500000	1558.883667	43.067066	443340640.000000
	3023062.500000	3428687.500000	1533.883667	43.067066	443341248.000000
	3023062.500000	3428712.500000	1508.883667	43.067066	443478752.000000
	3023062.500000	3428737.500000	1483.883667	43.067066	443479360.000000
	3023062.500000	3428762.500000	1458.883667	43.067066	443480000.000000
	3023062.500000	3428787.500000	1433.883667	43.067066	443624992.000000
	3023037.500000	3428787.500000	1408.883667	43.067066	443628736.000000
	3023012.500000	3428812.500000	1373.528320	43.067066	443632512.000000
	3023012.500000	3428837.500000	1348.528320	43.067066	443637504.000000
	3022987.500000	3428862.500000	1313.172974	43.067066	443775616.000000
	3022987.500000	3428887.500000	1288.172974	43.067066	443778112.000000
	3022962.500000	3428912.500000	1252.817627	43.048714	443780000.000000
	3022937.500000	3428937.500000	1217.462280	42.869377	443781248.000000
	3022937.500000	3428962.500000	1192.462280	42.625748	443787488.000000
	3022937.500000	3428987.500000	1167.462280	42.413204	443967488.000000
	3022912.500000	3429012.500000	1132.106934	42.192719	443983744.000000
	3022887.500000	3429037.500000	1096.751587	42.019363	443984384.000000
	3022862.500000	3429062.500000	1061.396240	41.510059	443996256.000000
	3022837.500000	3429062.500000	1036.396240	41.169632	444112512.000000
	3022837.500000	3429087.500000	1011.396179	41.130096	444120640.000000
	3022812.500000	3429112.500000	976.040833	41.130096	444528736.000000
	3022787.500000	3429137.500000	940.685486	41.130096	444536256.000000
	3022762.500000	3429162.500000	905.330139	41.130096	444538752.000000
	3022737.500000	3429187.500000	869.974792	41.054180	444541888.000000
	3022737.500000	3429212.500000	844.974792	41.049999	444784384.000000
	3022737.500000	3429237.500000	819.974792	41.038349	444788128.000000
	3022737.500000	3429262.500000	794.974792	40.968403	444793120.000000
	3022737.500000	3429287.500000	769.974792	40.825672	444798752.000000
	3022737.500000	3429312.500000	744.974792	40.562412	444841888.000000
	3022737.500000	3429337.500000	719.974792	40.485016	444859360.000000
	3022712.500000	3429362.500000	684.619446	40.452194	444924992.000000
	3022687.500000	3429362.500000	659.619446	40.406170	444930624.000000
	3022662.500000	3429387.500000	624.264099	40.396168	444955616.000000
	3022637.500000	3429387.500000	599.264099	40.316067	444960640.000000
	3022612.500000	3429387.500000	574.264099	40.316067	444963744.000000
	3022587.500000	3429412.500000	538.908752	40.316067	445007488.000000
	3022562.500000	3429437.500000	503.553436	40.316067	445030624.000000
	3022537.500000	3429462.500000	468.198090	40.316067	445596864.000000
	3022512.500000	3429487.500000	432.842743	40.316067	445603744.000000
	3022487.500000	3429512.500000	397.487396	40.316067	445615008.000000
	3022462.500000	3429512.500000	372.487396	40.280769	445617504.000000
	3022437.500000	3429537.500000	337.132050	40.149689	445623136.000000
	3022412.500000	3429537.500000	312.132050	39.791958	445624384.000000
	3022387.500000	3429537.500000	287.132050	39.411568	445626240.000000
	3022362.500000	3429537.500000	262.132050	39.270428	445635616.000000
	3022337.500000	3429562.500000	226.776703	39.228176	445860000.000000
	3022312.500000	3429562.500000	201.776703	39.213093	445872512.000000
	3022287.500000	3429587.500000	166.421356	39.143597	445881248.000000
	3022262.500000	3429612.500000	131.066010	39.143597	447101888.000000
	3023762.500000	3428087.500000	2658.147217	47.311779	436981888.000000
	3023737.500000	3428112.500000	2622.791992	47.311779	437353120.000000
	3023712.500000	3428112.500000	2597.791992	47.289352	437354368.000000
	3023687.500000	3428112.500000	2572.791992	47.222206	437356256.000000
	3023662.500000	3428137.500000	2537.436768	46.838139	437358752.000000
	3023637.500000	3428137.500000	2512.436768	46.490330	437368128.000000
	3023612.500000	3428137.500000	2487.436768	46.405464	437371872.000000
	3023587.500000	3428162.500000	2452.081543	46.241131	437381888.000000
	3023562.500000	3428162.500000	2427.081543	45.911621	437383136.000000
	3023537.500000	3428162.500000	2402.081543	45.470715	437386880.000000
	3023512.500000	3428162.500000	2377.081543	45.214569	437388736.000000
